認定日,曜日,コロナ融資(38条認定),セーフティネット(４号認定),危機関連保証,合計
2020年2月18日,火,2,0,0,2
2020年2月19日,水,2,0,0,2
2020年2月20日,木,1,0,0,1
2020年2月21日,金,1,0,0,1
2020年2月22日,土,0,0,0,0
2020年2月23日,日,0,0,0,0
2020年2月24日,月,0,0,0,0
2020年2月25日,火,3,0,0,3
2020年2月26日,水,1,0,0,1
2020年2月27日,木,2,0,0,2
2020年2月28日,金,1,0,0,1
2020年2月29日,土,0,0,0,0
2020年3月1日,日,0,0,0,0
2020年3月2日,月,5,0,0,5
2020年3月3日,火,16,5,0,21
2020年3月4日,水,10,4,0,14
2020年3月5日,木,14,11,0,25
2020年3月6日,金,10,7,0,17
2020年3月7日,土,0,0,0,0
2020年3月8日,日,0,0,0,0
2020年3月9日,月,25,18,0,43
2020年3月10日,火,12,21,0,33
2020年3月11日,水,7,19,0,26
2020年3月12日,木,11,27,0,38
2020年3月13日,金,30,46,2,78
2020年3月14日,土,0,0,0,0
2020年3月15日,日,0,0,0,0
2020年3月16日,月,17,47,3,67
2020年3月17日,火,29,50,1,80
2020年3月18日,水,15,40,3,58
2020年3月19日,木,19,58,9,86
2020年3月20日,金,0,0,0,0
2020年3月21日,土,0,0,0,0
2020年3月22日,日,0,0,0,0
2020年3月23日,月,23,50,8,81
2020年3月24日,火,16,51,8,75
2020年3月25日,水,16,47,5,68
2020年3月26日,木,20,44,3,67
2020年3月27日,金,14,53,6,73
2020年3月28日,土,0,0,0,0
2020年3月29日,日,0,0,0,0
2020年3月30日,月,11,42,11,64
2020年3月31日,火,9,47,4,60
2020年4月1日,水,6,62,12,80
2020年4月2日,木,11,60,14,85
2020年4月3日,金,12,64,8,84
2020年4月4日,土,0,0,0,0
2020年4月5日,日,0,0,0,0
2020年4月6日,月,19,54,19,92
2020年4月7日,火,14,51,9,74
2020年4月8日,水,9,69,10,88
2020年4月9日,木,17,78,27,122
2020年4月10日,金,19,69,20,108
2020年4月11日,土,0,0,0,0
2020年4月12日,日,0,0,0,0
2020年4月13日,月,23,56,19,98
2020年4月14日,火,16,70,28,114
2020年4月15日,水,10,70,30,110
2020年4月16日,木,16,69,27,112
2020年4月17日,金,21,78,36,135
2020年4月18日,土,0,0,0,0
2020年4月19日,日,0,0,0,0
2020年4月20日,月,22,75,27,124
2020年4月21日,火,15,78,23,116
